url,landmark_id,filename,label,one_hot
http://lh4.ggpht.com/-ykFvxrAjAjY/S9XZnI-uQaI/AAAAAAAAAJc/ZuGDrww-hkE/s1600/,9779,data/images/train-subset/beef63d6a6236b9d.jpg,4,"  (0, 4)	1.0
  (1, 1)	1.0
  (2, 0)	1.0
  (3, 4)	1.0
  (4, 2)	1.0
  (5, 0)	1.0
  (6, 4)	1.0
  (7, 2)	1.0
  (8, 0)	1.0
  (9, 3)	1.0
  (10, 0)	1.0
  (11, 3)	1.0
  (12, 0)	1.0
  (13, 0)	1.0
  (14, 3)	1.0
  (15, 3)	1.0
  (16, 4)	1.0
  (17, 4)	1.0
  (18, 1)	1.0
  (19, 0)	1.0
  (20, 4)	1.0
  (21, 4)	1.0
  (22, 1)	1.0
  (23, 4)	1.0
  (24, 0)	1.0
  :	:
  (2444, 2)	1.0
  (2445, 4)	1.0
  (2446, 0)	1.0
  (2447, 0)	1.0
  (2448, 4)	1.0
  (2449, 1)	1.0
  (2450, 2)	1.0
  (2451, 2)	1.0
  (2452, 1)	1.0
  (2453, 3)	1.0
  (2454, 3)	1.0
  (2455, 3)	1.0
  (2456, 2)	1.0
  (2457, 2)	1.0
  (2458, 1)	1.0
  (2459, 0)	1.0
  (2460, 4)	1.0
  (2461, 1)	1.0
  (2462, 0)	1.0
  (2463, 3)	1.0
  (2464, 4)	1.0
  (2465, 2)	1.0
  (2466, 0)	1.0
  (2467, 4)	1.0
  (2468, 2)	1.0"
http://lh3.ggpht.com/-IewXaHvMVQc/RZhs1KEWXZI/AAAAAAAAAzo/7_WZee448uU/s1600/,6051,data/images/train-subset/4c8fb1fc94f3cabf.jpg,1,"  (0, 4)	1.0
  (1, 1)	1.0
  (2, 0)	1.0
  (3, 4)	1.0
  (4, 2)	1.0
  (5, 0)	1.0
  (6, 4)	1.0
  (7, 2)	1.0
  (8, 0)	1.0
  (9, 3)	1.0
  (10, 0)	1.0
  (11, 3)	1.0
  (12, 0)	1.0
  (13, 0)	1.0
  (14, 3)	1.0
  (15, 3)	1.0
  (16, 4)	1.0
  (17, 4)	1.0
  (18, 1)	1.0
  (19, 0)	1.0
  (20, 4)	1.0
  (21, 4)	1.0
  (22, 1)	1.0
  (23, 4)	1.0
  (24, 0)	1.0
  :	:
  (2444, 2)	1.0
  (2445, 4)	1.0
  (2446, 0)	1.0
  (2447, 0)	1.0
  (2448, 4)	1.0
  (2449, 1)	1.0
  (2450, 2)	1.0
  (2451, 2)	1.0
  (2452, 1)	1.0
  (2453, 3)	1.0
  (2454, 3)	1.0
  (2455, 3)	1.0
  (2456, 2)	1.0
  (2457, 2)	1.0
  (2458, 1)	1.0
  (2459, 0)	1.0
  (2460, 4)	1.0
  (2461, 1)	1.0
  (2462, 0)	1.0
  (2463, 3)	1.0
  (2464, 4)	1.0
  (2465, 2)	1.0
  (2466, 0)	1.0
  (2467, 4)	1.0
  (2468, 2)	1.0"
http://lh6.ggpht.com/-j2-SZ9UqBrs/Tgx_kufPd4I/AAAAAAAAB78/N_-PynYQCgk/rj/,2061,data/images/train-subset/779e3ce783d13c85.jpg,0,"  (0, 4)	1.0
  (1, 1)	1.0
  (2, 0)	1.0
  (3, 4)	1.0
  (4, 2)	1.0
  (5, 0)	1.0
  (6, 4)	1.0
  (7, 2)	1.0
  (8, 0)	1.0
  (9, 3)	1.0
  (10, 0)	1.0
  (11, 3)	1.0
  (12, 0)	1.0
  (13, 0)	1.0
  (14, 3)	1.0
  (15, 3)	1.0
  (16, 4)	1.0
  (17, 4)	1.0
  (18, 1)	1.0
  (19, 0)	1.0
  (20, 4)	1.0
  (21, 4)	1.0
  (22, 1)	1.0
  (23, 4)	1.0
  (24, 0)	1.0
  :	:
  (2444, 2)	1.0
  (2445, 4)	1.0
  (2446, 0)	1.0
  (2447, 0)	1.0
  (2448, 4)	1.0
  (2449, 1)	1.0
  (2450, 2)	1.0
  (2451, 2)	1.0
